Year,Month,Route,PLF_pct,RPK_Millions,ASK_Millions,Utilization_Hrs_per_Day,Fuel_Barrels_per_Million_ATK,GHG_gCO2e_per_ATK,Aircraft_Count,Avg_Fleet_Age_Yrs,Passengers_Thousands
2023,1,All,86.8,4548,5243,7.7,1240,499,181,11.1,1032
2023,2,All,86.2,4773,5534,7.7,1241,497,181,11.1,1115
2023,3,All,90.4,5492,6074,7.7,1241,499,181,11.1,1322
2023,4,All,86.9,5508,6337,7.7,1242,498,181,11.1,1381
2023,5,All,85.1,5814,6828,7.7,1242,499,181,11.1,1418
2023,6,All,87.7,6173,7036,7.7,1241,500,181,11.1,1549
2023,7,All,89.3,6967,7804,7.7,1241,497,181,11.1,1744
2023,8,All,88.0,7095,8061,7.7,1241,499,181,11.1,1785
2023,9,All,83.7,6567,7849,7.7,1240,498,181,11.1,1542
2023,10,All,84.7,6898,8144,7.7,1241,498,181,11.1,1685
2023,11,All,80.5,6495,8067,7.7,1242,499,181,11.1,1633
2023,12,All,81.2,7010,8629,7.7,1241,499,181,11.1,1779
2024,1,All,82.8,7125,8608,8.5,1280,510,180,11.5,1717
2024,2,All,82.4,7173,8706,8.6,1275,508,180,11.5,1801
2024,3,All,83.8,7585,9047,8.8,1270,505,180,11.6,1883
2024,4,All,81.6,7041,8633,8.5,1285,512,180,11.6,1742
2024,5,All,80.3,7021,8742,8.6,1280,510,180,11.7,1679
2024,6,All,83.5,7638,9146,8.7,1275,507,180,11.7,1838
2024,7,All,85.5,8086,9456,8.8,1270,505,180,11.8,2008
2024,8,All,85.2,8225,9660,9.0,1265,502,180,11.8,2069
2024,9,All,81.4,7774,9553,8.9,1272,506,180,11.8,1817
2024,10,All,83.1,8213,9883,9.1,1268,504,180,11.8,2014
2024,11,All,83.5,8169,9785,9.2,1265,502,180,11.8,2011
2024,12,All,84.8,8966,10571,9.4,1260,500,180,11.8,2249
2025,1,All,86.4,9733,11269,9.6,1238,485,185,11.6,2352
2025,2,All,82.9,8450,10187,9.4,1245,492,185,11.6,2059
2025,3,All,82.7,9391,11357,9.3,1250,495,185,11.6,2256
2025,4,All,86.4,9483,10974,9.7,1230,480,185,11.6,2374
2025,5,All,84.7,9717,11466,9.5,1240,488,185,11.6,2285
2025,6,All,85.6,9877,11539,9.6,1235,482,185,11.6,2301
2025,7,All,85.9,10533,12256,9.7,1228,478,185,11.6,2489
2025,8,All,86.7,11074,12770,9.8,1220,475,185,11.6,2682
2025,9,All,82.3,9407,11431,9.2,1252,498,185,11.6,2198
